,Name,SKU,Image,Part Type
2,".302"" (1/4"" ThunderSquare) ID x 0.875"" OD x 0.280"" WD (Flanged Bearing) ",217-5830,Image Coming Soon,Motion
3,"2"" Mecanum Wheel ",217-7400,,Wheel
4,"Plastic 1/2"" VersaHex Adapters v2 (1/4"" Square Bore, 1/8"" Long) ",217-8004-001,,Motion
,"Plastic 1/2"" VersaHex Adapters v2 (1/4"" Square Bore, 1/4"" Long) ",217-8005-001,Image Coming Soon,Motion
5,"2x Pitch (1"") Shaft",228-2500-117,,Motion
6,"2.5x Pitch (1.125"") Shaft",228-2500-118,Image Coming Soon,Motion
7,"3x Pitch (1.5"") Shaft",228-2500-119,Image Coming Soon,Motion
8,"4x Pitch (2"") Shaft",228-2500-120,,Motion
9,"5x Pitch (2.5"") Shaft",228-2500-121,Image Coming Soon,Motion
10,"6x Pitch (3"") Shaft",228-2500-122,,Motion
11,"7x Pitch (3.5"") Shaft",228-2500-123,Image Coming Soon,Motion
12,"8x Pitch (4"") Shaft",228-2500-124,,Motion
13,"2x Pitch (1"") Capped Shaft",228-2500-2219,,Motion
14,"3x Pitch (1.5"") Capped Shaft",228-2500-2221,,Motion
15,"4x Pitch (2"") Capped Shaft",228-2500-2223,,Motion
16,"5x Pitch (2.5"") Capped Shaft",228-2500-2225,,Motion
17,"6x Pitch (3"") Capped Shaft",228-2500-2226,,Motion
18,"7x Pitch (3.5"") Capped Shaft",228-2500-2227,,Motion
19,"8x Pitch (4"") Capped Shaft",228-2500-2228,,Motion
20,"9x Pitch (4.5"") Capped Shaft",228-2500-2229,,Motion
21,"10x Pitch (5"") Capped Shaft",228-2500-2230,,Motion
22,"11x Pitch (5.5"") Capped Shaft",228-2500-2231,,Motion
23,"12x Pitch (6"") Capped Shaft",228-2500-2232,,Motion
24,"9x Pitch (4.5"") Shaft
",228-2500-260,,Motion
25,"10x Pitch (5"") Shaft 
",228-2500-261,,Motion
26,"11x Pitch (5.5"") Shaft
",228-2500-262,,Motion
27,"12x Pitch (6"") Shaft 
",228-2500-263,,Motion
28,"14x Pitch (7"") Shaft 
",228-2500-264,,Motion
